 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     SPECIFIC HEAT COEFFICIENTS                                                                     

             Cp = A + B*T + C*T^2 + D*T^3 + E*T^4  [J/kg/K]                                                         

    Species                      Cp(298K)         Cp(1000K)          LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)             A(HT)           B(HT)            C(HT)            D(HT)           E(HT)      
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. H2                       1.432041e+04     1.499044e+04     7.500000e+02     1.273837e+04     1.047428e+01    -2.363155e-02     2.357834e-05    -8.201704e-09     1.538798e+04    -3.656987e+00     4.630978e-03    -1.543907e-06     1.723781e-10
    2. CH4                      2.208016e+03     4.472446e+03     1.070000e+03     1.481010e+03     1.314160e+00     5.016334e-03    -4.508254e-06     1.169196e-09    -1.463162e+02     7.397624e+00    -3.511887e-03     8.052790e-07    -7.228386e-11
    3. C2H2                     1.701086e+03     2.622018e+03     9.700000e+02     5.869496e+02     5.253902e+00    -6.175910e-03     3.961745e-06    -1.004669e-09     1.472685e+03     1.601386e+00    -5.276886e-04     7.980534e-08    -4.169322e-12
    4. C2H4                     1.519620e+03     3.348120e+03     1.800000e+03     7.888327e+01     5.757717e+00    -3.394696e-03     1.036392e-06    -1.301756e-10     1.331706e+03     2.973667e+00    -1.074654e-03     1.771168e-07    -1.083190e-11
    5. C2H6                     1.711973e+03     4.056455e+03     1.800000e+03    -7.588953e+01     7.090172e+00    -4.001576e-03     1.190500e-06    -1.467516e-10     1.214883e+03     4.221787e+00    -1.611256e-03     3.051966e-07    -2.379276e-11
    6. C3H2                     1.642637e+03     2.162315e+03     7.000000e+02     9.310156e+02     3.737768e+00    -5.931849e-03     5.255984e-06    -1.845466e-09     1.371575e+03     1.220287e+00    -5.372474e-04     1.182680e-07    -1.056780e-11
    7. PC3H4                    1.518653e+03     2.901665e+03     9.200000e+02     2.821152e+02     5.268403e+00    -4.383513e-03     2.268755e-06    -5.341157e-10     6.311989e+02     3.750648e+00    -1.908911e-03     4.755660e-07    -4.683605e-11
    8. AC3H4                    1.462648e+03     2.932354e+03     1.800000e+03     2.522726e+02     4.889792e+00    -3.057683e-03     9.723976e-07    -1.244255e-10     1.378854e+03     2.386277e+00    -9.714205e-04     1.997078e-07    -1.710748e-11
    9. C3H6                     1.514335e+03     3.421230e+03     1.800000e+03    -5.174420e+01     6.336556e+00    -4.005460e-03     1.317787e-06    -1.759091e-10     1.820818e+03     2.175305e+00    -5.377517e-04     3.345091e-08     2.470942e-12
   10. C3H8                     1.650128e+03     3.946251e+03     1.800000e+03    -2.366535e+02     7.635940e+00    -4.833277e-03     1.593390e-06    -2.131477e-10     2.047578e+03     2.559870e+00    -6.032190e-04     2.670157e-08     4.447853e-12
   11. C4H2                     1.477497e+03     2.216991e+03     1.050000e+03     4.831687e+02     4.697639e+00    -5.476776e-03     3.282171e-06    -7.692115e-10     1.412223e+03     1.158386e+00    -4.207010e-04     7.196474e-08    -4.876591e-12
   12. C4H4                     1.407861e+03     2.705386e+03     1.190000e+03     6.437256e+01     5.858534e+00    -5.235833e-03     2.513315e-06    -4.950036e-10     1.015907e+03     2.660098e+00    -1.204190e-03     2.546922e-07    -2.050289e-11
   13. C4H6                     1.405491e+03     3.124899e+03     1.550000e+03    -1.606786e+02     6.531045e+00    -4.804310e-03     1.844544e-06    -2.857014e-10     1.468535e+03     2.326623e+00    -7.355152e-04     9.452457e-08    -3.440175e-12
   14. IC4H8                    1.597907e+03     3.496694e+03     1.800000e+03     1.062946e+02     5.948730e+00    -3.460296e-03     1.026300e-06    -1.243340e-10     1.131308e+03     3.670922e+00    -1.562123e-03     3.232729e-07    -2.669134e-11
   15. NC4H8                    1.512998e+03     3.499416e+03     1.170000e+03    -1.566449e+02     6.869122e+00    -4.793990e-03     1.932595e-06    -3.516672e-10     4.426484e+02     4.820256e+00    -2.167238e-03     4.358712e-07    -3.185434e-11
   16. CYC5H6                   1.155827e+03     2.908279e+03     1.020000e+03    -7.960930e+02     8.729075e+00    -8.586067e-03     4.578015e-06    -1.016651e-09     2.140047e+02     4.767907e+00    -2.760820e-03     7.706648e-07    -8.347700e-11
   17. C6H6                     1.049552e+03     2.726380e+03     1.550000e+03    -6.741503e+02     7.386917e+00    -6.088427e-03     2.503061e-06    -4.010202e-10     1.675004e+03     1.324585e+00    -2.216535e-04    -2.028271e-08     5.970637e-12
   18. MCPTD                    1.136162e+03     3.009189e+03     1.540000e+03    -6.767574e+02     7.644596e+00    -5.885699e-03     2.277273e-06    -3.502239e-10     1.184488e+03     2.810193e+00    -1.176865e-03     2.388167e-07    -1.930564e-11
   19. C10H8                    1.058197e+03     2.576324e+03     1.370000e+03    -5.655451e+02     7.042395e+00    -6.099294e-03     2.659707e-06    -4.609393e-10     9.807141e+02     2.527769e+00    -1.156273e-03     2.543446e-07    -2.200443e-11
   20. H                        2.062119e+04     2.062119e+04     1.490000e+03     2.062119e+04    -3.360883e-11     4.936937e-14    -2.829845e-17     5.565870e-21     2.062119e+04     6.106644e-11    -4.594131e-14     1.434615e-17    -1.589264e-21
   21. C                        1.734940e+03     1.730807e+03     7.000000e+02     1.765817e+03    -2.055956e-01     4.658692e-04    -4.663247e-07     1.724651e-10     1.723599e+03     3.564785e-02    -5.108105e-05     2.600886e-08    -3.368314e-12
   22. CH                       2.253465e+03     2.500511e+03     1.720000e+03     2.464522e+03    -1.260932e+00     2.137852e-03    -9.967565e-07     1.558252e-10     1.001148e+03     2.142264e+00    -8.300514e-04     1.535936e-07    -1.137682e-11
   23. CH2                      2.460027e+03     3.148046e+03     9.000000e+02     2.369316e+03    -3.490135e-01     2.846840e-03    -2.397399e-06     6.783701e-10     1.923499e+03     1.632396e+00    -4.555091e-04     4.878545e-08    -1.125628e-12
   24. CH2S                     2.412751e+03     3.153267e+03     9.000000e+02     2.741886e+03    -2.964761e+00     8.006168e-03    -6.465011e-06     1.835171e-09     1.526432e+03     2.437255e+00    -9.971927e-04     2.041450e-07    -1.737258e-11
   25. CH3                      2.580091e+03     3.920806e+03     1.270000e+03     1.953926e+03     1.999054e+00     5.570942e-04    -7.739806e-07     1.847123e-10     1.425232e+03     3.664232e+00    -1.409651e-03     2.584314e-07    -1.851842e-11
   26. C2H                      1.694382e+03     2.118950e+03     1.770000e+03     1.565072e+03     3.002084e-01     5.496525e-04    -3.568175e-07     6.083480e-11     8.726567e+02     1.864988e+00    -7.764318e-04     1.426493e-07    -9.711361e-12
   27. C2H3                     1.469960e+03     2.891640e+03     7.000000e+02     8.441940e+02     1.141575e+00     4.941342e-03    -6.544349e-06     2.530045e-09     2.167596e+02     4.726914e+00    -2.741529e-03     7.726704e-07    -8.317587e-11
   28. C2H5                     1.623673e+03     3.652390e+03     7.000000e+02     1.429044e+03    -3.005545e+00     1.737491e-02    -1.923618e-05     7.149038e-09    -3.161034e+02     6.966728e+00    -3.994248e-03     1.115395e-06    -1.193827e-10
   29. C3H3                     1.679028e+03     2.679144e+03     1.720000e+03     7.579381e+02     3.845670e+00    -2.838706e-03     1.074385e-06    -1.601425e-10     2.340202e+03     1.659859e-01     3.703208e-04    -1.694239e-07     2.064368e-11
   30. CH2CHCH2                 1.606081e+03     3.349791e+03     1.800000e+03     2.951210e+01     6.523408e+00    -4.601552e-03     1.625715e-06    -2.272919e-10     2.657318e+03     6.838386e-01     2.647558e-04    -1.766218e-07     2.303261e-11
   31. CH2CCH3                  1.537967e+03     3.214262e+03     1.800000e+03     1.235868e+02     5.759440e+00    -3.761567e-03     1.264531e-06    -1.717280e-10     2.026831e+03     1.530008e+00    -2.370409e-04    -4.084959e-08     9.574759e-12
   32. CHCHCH3                  1.537967e+03     3.214262e+03     1.800000e+03     1.235868e+02     5.759440e+00    -3.761567e-03     1.264531e-06    -1.717280e-10     2.026831e+03     1.530008e+00    -2.370409e-04    -4.084959e-08     9.574759e-12
   33. NC3H7                    1.742250e+03     3.708792e+03     1.650000e+03     1.042236e+02     6.648656e+00    -4.273952e-03     1.430345e-06    -2.004805e-10     1.629921e+03     2.949995e+00    -9.115328e-04     7.179157e-08     5.360925e-12
   34. IC3H7                    1.732680e+03     3.720746e+03     1.630000e+03     5.281808e+01     6.846838e+00    -4.498741e-03     1.539594e-06    -2.197625e-10     1.637807e+03     2.957294e+00    -9.194060e-04     7.565299e-08     4.768269e-12
   35. C4H3                     1.459044e+03     2.498824e+03     1.590000e+03     3.820580e+02     4.622126e+00    -3.830601e-03     1.577933e-06    -2.526918e-10     2.119953e+03     2.500629e-01     2.939860e-04    -1.514534e-07     1.922434e-11
   36. C4H5                     1.490144e+03     3.061348e+03     1.800000e+03    -3.159858e+01     6.389719e+00    -4.809481e-03     1.764387e-06    -2.516786e-10     2.978957e+03    -3.004045e-01     7.656224e-04    -3.004665e-07     3.510657e-11
   37. SC4H7                    1.510021e+03     3.364277e+03     1.420000e+03    -1.698355e+02     7.014081e+00    -5.207850e-03     2.073061e-06    -3.451804e-10     1.257004e+03     2.994814e+00    -9.621448e-04     7.977248e-08     5.750767e-12
   38. IC4H7                    1.653463e+03     3.577967e+03     7.000000e+02     5.826612e+02     3.239066e+00     2.279675e-03    -4.149729e-06     1.639935e-09     1.783265e+02     5.549550e+00    -2.671362e-03     5.655438e-07    -4.409099e-11
   39. CH2C3H5                  1.512476e+03     3.346649e+03     1.530000e+03    -4.969499e+01     6.394036e+00    -4.303105e-03     1.538760e-06    -2.333476e-10     1.276469e+03     2.926940e+00    -9.039912e-04     5.766524e-08     8.661449e-12
   40. CYC5H5                   1.308847e+03     2.652279e+03     7.000000e+02    -3.304804e+02     8.248907e+00    -1.194339e-02     1.019198e-05    -3.543189e-09     5.130233e+02     3.428886e+00    -1.614778e-03     3.552021e-07    -3.005436e-11
   41. C6H5                     1.109661e+03     2.594490e+03     1.690000e+03    -4.647241e+02     6.757166e+00    -5.576787e-03     2.216319e-06    -3.374839e-10     2.560945e+03    -4.041811e-01     7.794380e-04    -2.910673e-07     3.343132e-11
   42. N2                       1.041476e+03     1.166673e+03     1.050000e+03     1.143621e+03    -7.243422e-01     1.588338e-03    -1.114793e-06     2.738496e-10     8.051735e+02     5.649814e-01    -2.535527e-04     5.466132e-08    -4.591919e-12

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                           ENTHALPY COEFFICIENTS                                                                     

             H/(RT) = A + B*T + C*T^2 + D*T^3 + E*T^4 + F/T  [-]                                                         

    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. H2                       6.914890e+03     2.068889e+07     7.500000e+02     3.088660e+00     1.269844e-03    -1.909973e-06     1.429255e-09    -3.977319e-13    -9.921481e+02     3.731109e+00    -4.433531e-04     3.742897e-07    -9.358745e-11     8.359273e-15    -1.088515e+03
    2. CH4                     -7.484951e+07    -3.664513e+07     1.070000e+03     2.857653e+00     1.267855e-03     3.226388e-06    -2.174702e-09     4.511995e-13    -1.003579e+04    -2.823214e-01     7.136967e-03    -2.258763e-06     3.884524e-10    -2.789477e-14    -9.363836e+03
    3. C2H2                     2.267620e+08     2.679987e+08     9.700000e+02     1.838122e+00     8.226696e-03    -6.446934e-06     3.101701e-09    -6.292548e-13     2.614250e+04     4.611936e+00     2.507491e-03    -5.508456e-07     6.248063e-11    -2.611373e-15     2.560438e+04
    4. C2H4                     5.239412e+07     1.031169e+08     1.800000e+03     2.661617e-01     9.713616e-03    -3.818039e-06     8.742276e-10    -8.784565e-14     5.453991e+03     4.493337e+00     5.016755e-03    -1.208671e-06     1.494034e-10    -7.309626e-15     3.932208e+03
    5. C2H6                    -8.405157e+07    -1.956855e+07     1.800000e+03    -2.744613e-01     1.282112e-02    -4.824020e-06     1.076388e-09    -1.061481e-13    -1.104644e+04     4.393735e+00     7.634237e-03    -1.942417e-06     2.759427e-10    -1.720973e-14    -1.272699e+04
    6. C3H2                     5.422768e+08     5.943215e+08     7.000000e+02     4.260553e+00     8.552467e-03    -9.048527e-06     6.013164e-09    -1.689060e-12     6.338778e+04     6.276659e+00     2.792166e-03    -8.195249e-07     1.353058e-10    -9.672162e-15     6.310552e+04
    7. PC3H4                    1.853900e+08     2.507745e+08     9.200000e+02     1.359432e+00     1.269346e-02    -7.040962e-06     2.733120e-09    -5.147500e-13     2.093094e+04     3.041566e+00     9.036646e-03    -3.066165e-06     5.729040e-10    -4.513789e-14     2.062143e+04
    8. AC3H4                    1.991721e+08     2.644370e+08     1.800000e+03     1.215629e+00     1.178125e-02    -4.911365e-06     1.171426e-09    -1.199141e-13     2.266744e+04     6.644302e+00     5.749391e-03    -1.560332e-06     2.405836e-10    -1.648720e-14     2.071312e+04
    9. C3H6                     2.029914e+07     9.783451e+07     1.800000e+03    -2.618868e-01     1.603523e-02    -6.757453e-06     1.667390e-09    -1.780616e-13     1.261571e+03     9.215492e+00     5.504808e-03    -9.072196e-07     4.232528e-11     2.501177e-15    -2.150285e+03
   10. C3H8                    -1.040386e+08    -1.156685e+07     1.800000e+03    -1.255127e+00     2.024918e-02    -8.544670e-06     2.112695e-09    -2.260922e-13    -1.372716e+04     1.085964e+01     6.788328e-03    -1.066421e-06     3.540395e-11     4.717971e-15    -1.808847e+04
   11. C4H2                     4.674066e+08     5.356248e+08     1.050000e+03     2.909079e+00     1.414185e-02    -1.099159e-05     4.940352e-09    -9.262590e-13     5.434743e+04     8.502758e+00     3.487225e-03    -8.443237e-07     1.083219e-10    -5.872229e-15     5.317276e+04
   12. C4H4                     2.845364e+08     3.647252e+08     1.190000e+03     4.031848e-01     1.834689e-02    -1.093120e-05     3.935414e-09    -6.200715e-13     3.273214e+04     6.362936e+00     8.330500e-03    -2.514070e-06     3.988036e-10    -2.568317e-14     3.131372e+04
   13. C4H6                     1.100902e+08     2.022722e+08     1.550000e+03    -1.045339e+00     2.124475e-02    -1.041858e-05     3.000046e-09    -3.717416e-13     1.191863e+04     9.553953e+00     7.568241e-03    -1.595032e-06     1.537388e-10    -4.476199e-15     8.632847e+03
   14. IC4H8                   -1.596577e+07     9.017280e+07     1.800000e+03     7.173016e-01     2.007173e-02    -7.783638e-06     1.731430e-09    -1.678071e-13    -3.723724e+03     7.634340e+00     1.238613e-02    -3.513861e-06     5.453809e-10    -3.602392e-14    -6.213858e+03
   15. NC4H8                   -6.014398e+05     1.044920e+08     1.170000e+03    -1.057078e+00     2.317725e-02    -1.078367e-05     3.260405e-09    -4.746271e-13    -1.554782e+03     2.987098e+00     1.626413e-02    -4.875016e-06     7.353410e-10    -4.299216e-14    -2.501119e+03
   16. CYC5H6                   1.342607e+08     2.376745e+08     1.020000e+03    -6.329229e+00     3.469966e-02    -2.275412e-05     9.099222e-09    -1.616549e-12     1.548669e+04     1.701416e+00     1.895330e-02    -7.316509e-06     1.531766e-09    -1.327345e-13     1.384844e+04
   17. C6H6                     8.273917e+07     1.965714e+08     1.550000e+03    -6.333611e+00     3.469988e-02    -1.906683e-05     5.879036e-09    -7.535134e-13     9.217149e+03     1.573658e+01     6.222207e-03    -6.941416e-07    -4.763879e-11     1.121877e-14     2.375388e+03
   18. MCPTD                    1.049632e+08     2.325900e+08     1.540000e+03    -6.522198e+00     3.683711e-02    -1.890766e-05     5.486761e-09    -6.750512e-13     1.175519e+04     1.141541e+01     1.354151e-02    -3.780650e-06     5.753946e-10    -3.721133e-14     6.230407e+03
   19. C10H8                    1.506075e+08     3.300390e+08     1.370000e+03    -8.718324e+00     5.428204e-02    -3.134181e-05     1.025037e-08    -1.421149e-12     1.664344e+04     1.511848e+01     1.948378e-02    -5.941622e-06     9.802307e-10    -6.784314e-14     1.011216e+04
   20. H                        2.179771e+08     2.325690e+08     1.490000e+03     2.500000e+00    -2.037276e-15     1.995091e-18    -8.576875e-22     1.349551e-25     2.547162e+04     2.500000e+00     3.701681e-15    -1.856558e-18     4.348122e-22    -3.853474e-26     2.547162e+04
   21. C                        7.166729e+08     7.312756e+08     7.000000e+02     2.550884e+00    -1.485008e-04     2.243302e-07    -1.684122e-10     4.982832e-14     8.544424e+04     2.489897e+00     2.574828e-05    -2.459708e-08     9.393042e-12    -9.731675e-16     8.545278e+04
   22. CH                       5.942290e+08     6.154922e+08     1.720000e+03     3.859013e+00    -9.872000e-04     1.115835e-06    -3.901868e-10     4.879904e-14     7.038044e+04     1.567624e+00     1.677206e-03    -4.332387e-07     6.012523e-11    -3.562823e-15     7.116867e+04
   23. CH2                      3.869885e+08     4.146051e+08     9.000000e+02     3.997179e+00    -2.944034e-04     1.600930e-06    -1.011139e-09     2.288903e-13     4.534408e+04     3.245059e+00     1.376975e-03    -2.561571e-07     2.057600e-11    -3.798005e-16     4.547946e+04
   24. CH2S                     4.247213e+08     4.518610e+08     9.000000e+02     4.625727e+00    -2.500866e-03     4.502296e-06    -2.726716e-09     6.192088e-13     4.982675e+04     2.575183e+00     2.055898e-03    -5.607748e-07     8.610124e-11    -5.861719e-15     5.019585e+04
   25. CH3                      1.457171e+08     1.804193e+08     1.270000e+03     3.533274e+00     1.807440e-03     3.357969e-07    -3.498963e-10     6.680286e-14     1.630604e+04     2.577240e+00     3.313006e-03    -8.496880e-07     1.168300e-10    -6.697353e-15     1.654887e+04
   26. C2H                      5.662352e+08     5.997119e+08     1.770000e+03     4.711518e+00     4.518762e-04     5.515611e-07    -2.685424e-10     3.662762e-14     6.664572e+04     2.627061e+00     2.807196e-03    -7.791279e-07     1.073584e-10    -5.847049e-15     6.738362e+04
   27. C2H3                     2.861847e+08     3.293667e+08     7.000000e+02     2.746067e+00     1.856706e-03     5.357874e-06    -5.322006e-09     1.645990e-12     3.333321e+04     7.050942e-01     7.688057e-03    -2.972627e-06     6.283523e-10    -5.411233e-14     3.361895e+04
   28. C2H5                     1.171179e+08     1.730341e+08     7.000000e+02     4.995018e+00    -5.252724e-03     2.024383e-05    -1.680932e-08     4.997686e-12     1.264909e+04    -1.104894e+00     1.217560e-02    -4.653772e-06     9.746757e-10    -8.345702e-14     1.350307e+04
   29. C3H3                     3.473337e+08     4.097265e+08     1.720000e+03     3.560397e+00     9.032474e-03    -4.444919e-06     1.261725e-09    -1.504531e-13     4.001955e+04     1.099305e+01     3.898574e-04     5.798579e-07    -1.989662e-10     1.939464e-14     3.746272e+04
   30. CH2CHCH2                 1.647864e+08     2.410746e+08     1.800000e+03     1.457882e-01     1.611264e-02    -7.577141e-06     2.007736e-09    -2.245619e-13     1.853015e+04     1.312701e+01     1.689063e-03     4.359598e-07    -2.181255e-10     2.275597e-14     1.385691e+04
   31. CH2CCH3                  2.705702e+08     3.432467e+08     1.800000e+03     6.105120e-01     1.422566e-02    -6.193981e-06     1.561678e-09    -1.696655e-13     3.124889e+04     1.001244e+01     3.779079e-03    -3.903232e-07    -5.044870e-11     9.459760e-15     2.786419e+04
   32. CHCHCH3                  2.705702e+08     3.432467e+08     1.800000e+03     6.105120e-01     1.422566e-02    -6.193981e-06     1.561678e-09    -1.696655e-13     3.124889e+04     1.001244e+01     3.779079e-03    -3.903232e-07    -5.044870e-11     9.459760e-15     2.786419e+04
   33. NC3H7                    9.448437e+07     1.819591e+08     1.650000e+03     5.401303e-01     1.722805e-02    -7.383132e-06     1.853160e-09    -2.077946e-13     9.854238e+03     8.446930e+00     7.644051e-03    -1.574647e-06     9.301344e-11     5.556508e-15     7.244995e+03
   34. IC3H7                    8.023032e+07     1.678993e+08     1.630000e+03     2.737252e-01     1.774158e-02    -7.771448e-06     1.994704e-09    -2.277801e-13     8.182862e+03     8.487798e+00     7.662963e-03    -1.588248e-06     9.801632e-11     4.942230e-15     5.505074e+03
   35. C4H3                     5.433191e+08     6.184867e+08     1.590000e+03     2.346627e+00     1.419471e-02    -7.842606e-06     2.422944e-09    -3.104101e-13     6.357559e+04     1.302090e+01     7.679518e-04     6.018940e-07    -2.325593e-10     2.361544e-14     6.018118e+04
   36. C4H5                     3.598558e+08     4.509281e+08     1.800000e+03    -2.017423e-01     2.039770e-02    -1.023544e-05     2.816198e-09    -3.213703e-13     4.177884e+04     1.901927e+01    -9.589719e-04     1.629382e-06    -4.795849e-10     4.482785e-14     3.485927e+04
   37. SC4H7                    1.337704e+08     2.346954e+08     1.420000e+03    -1.125501e+00     2.324118e-02    -1.150415e-05     3.434548e-09    -4.575025e-13     1.463880e+04     8.330178e+00     9.923325e-03    -2.125380e-06     1.321632e-10     7.622075e-15     1.195339e+04
   38. IC4H7                    1.241700e+08     2.300539e+08     7.000000e+02     3.861300e+00     1.073266e-02     5.035807e-06    -6.875071e-09     2.173572e-12     1.274629e+04     1.181771e+00     1.838845e-02    -5.901045e-06     9.369657e-10    -5.843826e-14     1.312142e+04
   39. CH2C3H5                  2.007050e+08     3.008168e+08     1.530000e+03    -3.293291e-01     2.118666e-02    -9.505568e-06     2.549344e-09    -3.092792e-13     2.258811e+04     8.459170e+00     9.698427e-03    -1.996919e-06     9.553699e-11     1.147990e-14     1.989883e+04
   40. CYC5H5                   2.615025e+08     3.573906e+08     7.000000e+02    -2.587374e+00     3.229088e-02    -3.116879e-05     1.994858e-08    -5.548018e-12     3.003556e+04     4.016526e+00     1.342259e-02    -4.214101e-06     6.952308e-10    -4.705989e-14     2.911102e+04
