time[s](1)               x[mm](2)                 T[K](3)                  P[Pa](4)                 rDepo[kmol/m2/s](5)      r1[kmol/m2/s](6)         r2[kmol/m2/s](7)         r3[kmol/m2/s](8)         r4[kmol/m2/s](9)         I_CH4[-](10)             I_C2H4[-](11)            I_C2H2[-](12)            I_C6H6[-](13)            R_CH4[kmol/m3/s](14)     R_C2H4[kmol/m3/s](15)    R_C2H2[kmol/m3/s](16)    R_C6H6[kmol/m3/s](17)    R_H2[kmol/m3/s](18)      
108000                   0                        1368                     30000                    2.248381e-014            0                        3.66347737e-010          8.97647046e-010          2.4294293e-013           0.994211552              0.404623811              0.587298772              0.00185699068            -0                       -3.66347737e-010         -8.97647046e-010         -2.4294293e-013          1.63107135e-009          
108000                   1.10526316               1368                     30000                    2.248381e-014            0                        3.66347737e-010          8.97647046e-010          2.4294293e-013           0.994211552              0.404623811              0.587298772              0.00185699068            -0                       -3.66347737e-010         -8.97647046e-010         -2.4294293e-013          1.63107135e-009          
108000                   2.21052632               1368                     30000                    2.23268964e-014          0                        3.64539808e-010          8.90636896e-010          2.40129212e-013          0.994234236              0.404463615              0.586620392              0.00184980323            -0                       -3.64539808e-010         -8.90636896e-010         -2.40129212e-013         1.6204369e-009           
108000                   3.31578947               1368                     30000                    2.20137094e-014          0                        3.60914579e-010          8.76661817e-010          2.345585e-013            0.994279567              0.40413432               0.585247326              0.0018353896             -0                       -3.60914579e-010         -8.76661817e-010         -2.345585e-013           1.59919465e-009          
108000                   4.42105263               1368                     30000                    2.15455397e-014          0                        3.55453489e-010          8.55812632e-010          2.26343373e-013          0.994347473              0.403617578              0.583145808              0.00181366981            -0                       -3.55453489e-010         -8.55812632e-010         -2.26343373e-013         1.56739864e-009          
108000                   5.52631579               1368                     30000                    2.09243489e-014          0                        3.48129174e-010          8.28226559e-010          2.15650522e-013          0.994437845              0.402884449              0.580262122              0.00178451734            -0                       -3.48129174e-010         -8.28226559e-010         -2.15650522e-013         1.52513186e-009          
108000                   6.63157895               1368                     30000                    2.01528035e-014          0                        3.38906081e-010          7.94088496e-010          2.02698134e-013          0.994550535              0.401893505              0.576518448              0.00174775008            -0                       -3.38906081e-010         -7.94088496e-010         -2.02698134e-013         1.47250875e-009          
108000                   7.73684211               1368                     30000                    1.9234325e-014           0                        3.27741395e-010          7.53632937e-010          1.87752384e-013          0.994685354              0.400587938              0.571806361              0.00170311639            -0                       -3.27741395e-010         -7.53632937e-010         -1.87752384e-013         1.40967898e-009          
108000                   8.84210526               1368                     30000                    1.8173163e-014           0                        3.14586355e-010          7.0714677e-010           1.7112309e-013           0.994842075              0.398891251              0.565976903              0.00165027364            -0                       -3.14586355e-010         -7.0714677e-010          -1.7112309e-013          1.33683285e-009          
108000                   9.94736842               1368                     30000                    1.69745009e-014          0                        2.99388121e-010          6.54973377e-010          1.53158608e-013          0.995020421              0.39670087               0.558825335              0.00158875605            -0                       -2.99388121e-010         -6.54973377e-010         -1.53158608e-013         1.2542091e-009           
108000                   11.0526316               1368                     30000                    1.56446127e-014          0                        2.82092426e-010          5.9751882e-010           1.34240192e-013          0.995220072              0.393878529              0.550067274              0.00151792543            -0                       -2.82092426e-010         -5.9751882e-010          -1.34240192e-013         1.16210639e-009          
108000                   12.1578947               1368                     30000                    1.41911028e-014          0                        2.62647396e-010          5.35261511e-010          1.14776261e-013          0.995440655              0.390235526              0.539300273              0.00143689571            -0                       -2.62647396e-010         -5.35261511e-010         -1.14776261e-013         1.06090063e-009          
108000                   13.2631579               1368                     30000                    1.26232878e-014          0                        2.4100919e-010           4.68768091e-010          9.51974218e-014          0.995681744              0.385509414              0.525939614              0.00134441481            -0                       -2.4100919e-010          -4.68768091e-010         -9.51974218e-014         9.51072062e-010          
108000                   14.3684211               1368                     30000                    1.09528397e-014          0                        2.17150594e-010          3.98720986e-010          7.59538118e-014          0.995942851              0.379325848              0.509105807              0.00123867679            -0                       -2.17150594e-010         -3.98720986e-010         -7.59538118e-014         8.33250037e-010          
108000                   15.4736842               1368                     30000                    9.19493834e-015          0                        1.91074797e-010          3.25969487e-010          5.75176568e-014          0.996223427              0.371133277              0.487415667              0.0011170151             -0                       -1.91074797e-010         -3.25969487e-010         -5.75176568e-014         7.08291634e-010          
108000                   16.5789474               1368                     30000                    7.37050606e-015          0                        1.62838772e-010          2.51632005e-010          4.03964163e-014          0.996522851              0.360085004              0.458564734              0.000975386536           -0                       -1.62838772e-010         -2.51632005e-010         -4.03964163e-014         5.77430737e-010          
108000                   17.6842105               1368                     30000                    5.51098216e-015          0                        1.32596216e-010          1.77321588e-010          2.51669361e-014          0.996840428              0.344811435              0.418409729              0.000807467335           -0                       -1.32596216e-010         -1.77321588e-010         -2.51669361e-014         4.42589522e-010          
108000                   18.7894737               1368                     30000                    3.66990985e-015          0                        1.00684386e-010          1.05710635e-010          1.25520348e-014          0.997175384              0.32294133               0.358678998              0.000602986746           -0                       -1.00684386e-010         -1.05710635e-010         -1.25520348e-014         3.07117062e-010          
108000                   19.8947368               1368                     30000                    1.95658748e-015          0                        6.78228429e-011          4.22245104e-011          3.58753791e-015          0.997526859              0.289976501              0.260123626              0.000344440451           -0                       -6.78228429e-011         -4.22245104e-011         -3.58753791e-015         1.77880959e-010          
108000                   21                       1368                     30000                    6.65643483e-016          0                        3.56500251e-011          1.79242901e-012          3.81900991e-025          0.997893908              0.236204609              0.0652554583             3.85032672e-009          -0                       -3.56500251e-011         -1.79242901e-012         -3.81900991e-025         7.30924792e-011          
